cat_slug,rank,name,country,change,initials
k-beauty,1,메디큐브,KR,2,메디
k-beauty,2,조선미녀,KR,1,조선
k-beauty,3,닥터지,KR,0,닥터
k-beauty,4,코스알엑스,KR,-1,코스
k-beauty,5,달바,KR/US,-3,달바
k-beauty,6,라네즈,KR,1,라네
k-beauty,7,이니스프리,KR,5,이니
k-beauty,8,넘버즈인,KR/JP,0,넘버
k-beauty,9,베리썸,KR,-2,베리
k-beauty,10,어노브,KR,4,어노
k-beauty,11,라운드랩,KR,1,라운
k-beauty,12,푸리토,KR,-1,푸리
k-beauty,13,토니모리,KR,0,토니
k-beauty,14,비플레인,KR,2,비플
k-beauty,15,토리든,KR/US,3,토리
k-beauty,16,스킨푸드,KR,-1,스킨
k-beauty,17,악마티카,KR,0,악마
k-beauty,18,토코보,KR/JP,1,토코
k-beauty,19,더오디너리K,KR,2,더오
k-beauty,20,넘버9,KR,0,넘버
k-pop-merch,1,하이브 머치,KR,2,하이
k-pop-merch,2,SM 아티스트,KR,1,SM
k-pop-merch,3,JYP 굿즈,KR,0,JY
k-pop-merch,4,YG 셀렉트,KR,-1,YG
k-pop-merch,5,스타쉽,KR/US,-3,스타
k-pop-merch,6,큐브,KR,1,큐브
k-pop-merch,7,위버스,KR,5,위버
k-pop-merch,8,엠와이,KR/JP,0,엠와
k-pop-merch,9,스타비,KR,-2,스타
k-pop-merch,10,콘서트키트,KR,4,콘서
k-pop-merch,11,케이오티,KR,1,케이
k-pop-merch,12,BTS Official,KR,-1,BT
k-pop-merch,13,TWICE Shop,KR,0,TW
k-pop-merch,14,에이티즈,KR,2,에이
k-pop-merch,15,스트레이키즈,KR/US,3,스트
k-pop-merch,16,뉴진스,KR,-1,뉴진
k-pop-merch,17,아이브,KR,0,아이
k-pop-merch,18,엔하이픈,KR/JP,1,엔하
k-pop-merch,19,투바투,KR,2,투바
k-pop-merch,20,르세라핌,KR,0,르세
character-goods,1,산리오 코리아,KR,2,산리
character-goods,2,라인프렌즈,KR,1,라인
character-goods,3,카카오프렌즈,KR,0,카카
character-goods,4,조구만,KR,-1,조구
character-goods,5,에스더버니,KR/US,-3,에스
character-goods,6,위글위글,KR,1,위글
character-goods,7,오롤리데이,KR,5,오롤
character-goods,8,디즈니K,KR/JP,0,디즈
character-goods,9,포스코핀,KR,-2,포스
character-goods,10,벨리곰,KR,4,벨리
character-goods,11,베어브릭,KR,1,베어
character-goods,12,스누피K,KR,-1,스누
character-goods,13,푸바오 굿즈,KR,0,푸바
character-goods,14,토토,KR,2,토토
character-goods,15,므므,KR/US,3,므므
character-goods,16,튜브타임,KR,-1,튜브
character-goods,17,젤리캣 K,KR,0,젤리
character-goods,18,리락쿠마 K,KR/JP,1,리락
character-goods,19,잔망루피,KR,2,잔망
character-goods,20,포로로,KR,0,포로
k-fashion,1,무신사 스탠다드,KR,2,무신
k-fashion,2,젝시믹스,KR,1,젝시
k-fashion,3,안다르,KR,0,안다
k-fashion,4,스파오,KR,-1,스파
k-fashion,5,코드그라피,KR/US,-3,코드
k-fashion,6,마뗑킴,KR,1,마뗑
k-fashion,7,널디,KR,5,널디
k-fashion,8,오아이오아이,KR/JP,0,오아
k-fashion,9,디스이즈네버댓,KR,-2,디스
k-fashion,10,디스코드,KR,4,디스
k-fashion,11,어메이즈,KR,1,어메
k-fashion,12,마하그리드,KR,-1,마하
k-fashion,13,엘무드,KR,0,엘무
k-fashion,14,굿네이버스,KR,2,굿네
k-fashion,15,이미스,KR/US,3,이미
k-fashion,16,오언,KR,-1,오언
k-fashion,17,콜리,KR,0,콜리
k-fashion,18,아카이브볼드,KR/JP,1,아카
k-fashion,19,리이,KR,2,리이
k-fashion,20,와이드앵글,KR,0,와이
skincare-tools,1,메디뷰티,KR,2,메디
skincare-tools,2,큐오피,KR,1,큐오
skincare-tools,3,메디스킨,KR,0,메디
skincare-tools,4,라뮤끄,KR,-1,라뮤
skincare-tools,5,쥬얼리캣,KR/US,-3,쥬얼
skincare-tools,6,도리뮤트,KR,1,도리
skincare-tools,7,쉘피,KR,5,쉘피
skincare-tools,8,유스킨,KR/JP,0,유스
skincare-tools,9,엠씨씨,KR,-2,엠씨
skincare-tools,10,라이팩,KR,4,라이
skincare-tools,11,디바이스랩,KR,1,디바
skincare-tools,12,글로우K,KR,-1,글로
skincare-tools,13,퓨라셀,KR,0,퓨라
skincare-tools,14,엔뷰,KR,2,엔뷰
skincare-tools,15,라보떼,KR/US,3,라보
skincare-tools,16,스킨에디션,KR,-1,스킨
skincare-tools,17,더뷰티스킨,KR,0,더뷰
skincare-tools,18,셀더마,KR/JP,1,셀더
skincare-tools,19,지블레,KR,2,지블
skincare-tools,20,톤업스튜디오,KR,0,톤업
k-stationery,1,아이코닉,KR,2,아이
k-stationery,2,모트모트,KR,1,모트
k-stationery,3,포인트오브뷰,KR,0,포인
k-stationery,4,1000ZA,KR,-1,ZA
k-stationery,5,위글위글,KR/US,-3,위글
k-stationery,6,디비디,KR,1,디비
k-stationery,7,오연,KR,5,오연
k-stationery,8,투엠캣츠,KR/JP,0,투엠
k-stationery,9,더우드,KR,-2,더우
k-stationery,10,콜리,KR,4,콜리
k-stationery,11,녹색문구,KR,1,녹색
k-stationery,12,노네임드,KR,-1,노네
k-stationery,13,어반러브,KR,0,어반
k-stationery,14,포멜로,KR,2,포멜
k-stationery,15,에디션데님,KR/US,3,에디
k-stationery,16,프리하다,KR,-1,프리
k-stationery,17,프랭클린플래너 K,KR,0,프랭
k-stationery,18,마쉬,KR/JP,1,마쉬
k-stationery,19,코트,KR,2,코트
k-stationery,20,뉴노트,KR,0,뉴노
korean-snacks,1,메디큐브,KR,2,메디
korean-snacks,2,조선미녀,KR,1,조선
korean-snacks,3,닥터지,KR,0,닥터
korean-snacks,4,코스알엑스,KR,-1,코스
korean-snacks,5,달바,KR/US,-3,달바
korean-snacks,6,라네즈,KR,1,라네
korean-snacks,7,이니스프리,KR,5,이니
korean-snacks,8,넘버즈인,KR/JP,0,넘버
korean-snacks,9,베리썸,KR,-2,베리
korean-snacks,10,어노브,KR,4,어노
korean-snacks,11,라운드랩,KR,1,라운
korean-snacks,12,푸리토,KR,-1,푸리
korean-snacks,13,토니모리,KR,0,토니
korean-snacks,14,비플레인,KR,2,비플
korean-snacks,15,토리든,KR/US,3,토리
korean-snacks,16,스킨푸드,KR,-1,스킨
korean-snacks,17,악마티카,KR,0,악마
korean-snacks,18,토코보,KR/JP,1,토코
korean-snacks,19,더오디너리K,KR,2,더오
korean-snacks,20,넘버9,KR,0,넘버
herbal-supplements,1,메디큐브,KR,2,메디
herbal-supplements,2,조선미녀,KR,1,조선
herbal-supplements,3,닥터지,KR,0,닥터
herbal-supplements,4,코스알엑스,KR,-1,코스
herbal-supplements,5,달바,KR/US,-3,달바
herbal-supplements,6,라네즈,KR,1,라네
herbal-supplements,7,이니스프리,KR,5,이니
herbal-supplements,8,넘버즈인,KR/JP,0,넘버
herbal-supplements,9,베리썸,KR,-2,베리
herbal-supplements,10,어노브,KR,4,어노
herbal-supplements,11,라운드랩,KR,1,라운
herbal-supplements,12,푸리토,KR,-1,푸리
herbal-supplements,13,토니모리,KR,0,토니
herbal-supplements,14,비플레인,KR,2,비플
herbal-supplements,15,토리든,KR/US,3,토리
herbal-supplements,16,스킨푸드,KR,-1,스킨
herbal-supplements,17,악마티카,KR,0,악마
herbal-supplements,18,토코보,KR/JP,1,토코
herbal-supplements,19,더오디너리K,KR,2,더오
herbal-supplements,20,넘버9,KR,0,넘버
korean-kitchenware,1,메디큐브,KR,2,메디
korean-kitchenware,2,조선미녀,KR,1,조선
korean-kitchenware,3,닥터지,KR,0,닥터
korean-kitchenware,4,코스알엑스,KR,-1,코스
korean-kitchenware,5,달바,KR/US,-3,달바
korean-kitchenware,6,라네즈,KR,1,라네
korean-kitchenware,7,이니스프리,KR,5,이니
korean-kitchenware,8,넘버즈인,KR/JP,0,넘버
korean-kitchenware,9,베리썸,KR,-2,베리
korean-kitchenware,10,어노브,KR,4,어노
korean-kitchenware,11,라운드랩,KR,1,라운
korean-kitchenware,12,푸리토,KR,-1,푸리
korean-kitchenware,13,토니모리,KR,0,토니
korean-kitchenware,14,비플레인,KR,2,비플
korean-kitchenware,15,토리든,KR/US,3,토리
korean-kitchenware,16,스킨푸드,KR,-1,스킨
korean-kitchenware,17,악마티카,KR,0,악마
korean-kitchenware,18,토코보,KR/JP,1,토코
korean-kitchenware,19,더오디너리K,KR,2,더오
korean-kitchenware,20,넘버9,KR,0,넘버
tea-ceremony,1,메디큐브,KR,2,메디
tea-ceremony,2,조선미녀,KR,1,조선
tea-ceremony,3,닥터지,KR,0,닥터
tea-ceremony,4,코스알엑스,KR,-1,코스
tea-ceremony,5,달바,KR/US,-3,달바
tea-ceremony,6,라네즈,KR,1,라네
tea-ceremony,7,이니스프리,KR,5,이니
tea-ceremony,8,넘버즈인,KR/JP,0,넘버
tea-ceremony,9,베리썸,KR,-2,베리
tea-ceremony,10,어노브,KR,4,어노
tea-ceremony,11,라운드랩,KR,1,라운
tea-ceremony,12,푸리토,KR,-1,푸리
tea-ceremony,13,토니모리,KR,0,토니
tea-ceremony,14,비플레인,KR,2,비플
tea-ceremony,15,토리든,KR/US,3,토리
tea-ceremony,16,스킨푸드,KR,-1,스킨
tea-ceremony,17,악마티카,KR,0,악마
tea-ceremony,18,토코보,KR/JP,1,토코
