cat_slug,rank,name,name_en,brand,ebay_usd,krw,margin,weight_g,ebay_cat_id,seo_tags,change,source_slugs
k-beauty,1,조선미녀 맑은쌀 선크림 SPF50+ PA++++,Beauty of Joseon Relief Sun: Rice + Probiotics SPF50+ PA++++,조선미녀,18.5,7800,42,80,29595,korean sunscreen;beauty of joseon;rice sunscreen,5,umma-io;cosmeticstory-co-kr;beautynara-co-kr;k-beautyhub-com
k-beauty,2,코스알엑스 어드밴스드 스네일 96 뮤신 파워 에센스,COSRX Advanced Snail 96 Mucin Power Essence,코스알엑스,21,9500,38,150,177643,cosrx;snail mucin;korean essence,2,domeggook-com;ownerclan-com;beautydome-co-kr;shopme365-com
k-beauty,3,메디힐 마데카소사이드 흔적 패드,Mediheal Madecassoside Blemish Pad,메디큐브,24.99,11200,45,250,177644,mediheal;toner pad;cica;kbeauty,7,cosmeticstory-co-kr;umma-io;beautynara-co-kr;dometopia-com
k-beauty,4,라네즈 크림 스킨 토너,Laneige Cream Skin Cerapeptide™ Toner & Moisturizer,라네즈,33,15500,41,220,31793,laneige;cream skin;korean toner,1,ownerclan-com;beautydome-co-kr;k-beautyhub-com;shopme365-com
k-beauty,5,이니스프리 그린티 씨드 히알루론산 세럼,Innisfree Green Tea Seed Hyaluronic Serum,이니스프리,27.5,12800,40,130,177643,innisfree;green tea serum;hyaluronic acid,-1,domeggook-com;cosmeticstory-co-kr;beautynara-co-kr;umma-io
k-beauty,6,설화수 윤조 에센스,Sulwhasoo First Care Activating Serum,설화수,85,45000,35,180,177643,sulwhasoo;first care serum;luxury kbeauty,0,ktradehub-com;ownerclan-com;shopme365-com;beautydome-co-kr
k-beauty,7,닥터자르트 시카페어 크림,Dr.Jart+ Cicapair Tiger Grass Cream,닥터자르트,42,19800,43,100,31788,dr jart;cicapair;korean moisturizer,3,umma-io;cosmeticstory-co-kr;dometopia-com;ownerclan-com
k-beauty,8,넘버즈인 3번 보들보들 결 세럼,Numbuzin No. 3 Skin Softening Serum,넘버즈인,26.8,12500,41,110,177643,numbuzin;no 3 serum;korean skincare,4,domeggook-com;beautynara-co-kr;k-beautyhub-com;ownerclan-com
k-beauty,9,롬앤 쥬시 래스팅 틴트,Rom&nd Juicy Lasting Tint,롬앤,9.9,4200,48,40,31787,romand;lip tint;korean makeup,8,cosmeticstory-co-kr;beautydome-co-kr;shopme365-com;domeggook-com
k-beauty,10,클리오 킬커버 파운웨어 쿠션,Clio Kill Cover Founwear Cushion,클리오,29.5,13500,42,120,11863,clio;cushion foundation;korean cushion,1,ownerclan-com;umma-io;beautynara-co-kr;dometopia-com
k-beauty,11,헤라 블랙 쿠션,Hera Black Cushion,헤라,55,28000,39,130,11863,hera;black cushion;luxury cushion,2,ktradehub-com;shopme365-com;ownerclan-com;cosmeticstory-co-kr
k-beauty,12,아비브 껌딱지 시트 마스크 (어성초 스티커),Abib Gummy Sheet Mask (Heartleaf Sticker),아비브,22.5,9800,44,350,177646,abib;sheet mask;heartleaf mask,6,domeggook-com;beautydome-co-kr;k-beautyhub-com;umma-io
k-beauty,13,페리페라 잉크 더 벨벳 틴트,Peripera Ink the Velvet Tint,페리페라,8.5,3800,45,35,31787,peripera;ink velvet;korean lip tint,3,cosmeticstory-co-kr;beautynara-co-kr;dometopia-com;ownerclan-com
k-beauty,14,미샤 M 퍼펙트 커버 비비크림,Missha M Perfect Cover BB Cream,미샤,12.99,5500,43,80,31772,missha;bb cream;korean makeup base,0,domeggook-com;shopme365-com;beautydome-co-kr;ownerclan-com
k-beauty,15,에뛰드 순정 수분 베리어 크림,Etude Soon Jung 2x Barrier Intensive Cream,에뛰드,19.8,8900,41,110,31788,etude;soon jung;barrier cream,-2,umma-io;cosmeticstory-co-kr;beautynara-co-kr;k-beautyhub-com
k-beauty,16,메디큐브 제로 모공 패드,Medicube Zero Pore Pad,메디큐브,28.5,13000,44,260,177644,medicube;pore pad;toner pad,5,ownerclan-com;dometopia-com;shopme365-com;domeggook-com
k-beauty,17,설화수 자음생 크림,Sulwhasoo Concentrated Ginseng Renewing Cream,설화수,120,50000,30,150,31788,sulwhasoo;ginseng cream;anti aging,1,ktradehub-com;beautydome-co-kr;ownerclan-com;shopme365-com
k-beauty,18,라네즈 워터 슬리핑 마스크,Laneige Water Sleeping Mask,라네즈,29,13800,42,120,11865,laneige;sleeping mask;overnight mask,0,cosmeticstory-co-kr;umma-io;beautynara-co-kr;dometopia-com
k-beauty,19,이니스프리 화산송이 모공 클렌징폼,Innisfree Volcanic Pore Cleansing Foam,이니스프리,12.5,5200,41,180,11854,innisfree;volcanic foam;pore cleanser,-1,domeggook-com;ownerclan-com;k-beautyhub-com;shopme365-com
k-beauty,20,코스알엑스 약산성 굿모닝 젤 클렌저,COSRX Low pH Good Morning Gel Cleanser,코스알엑스,11.8,4900,40,180,11854,cosrx;low ph cleanser;gel cleanser,2,beautydome-co-kr;umma-io;cosmeticstory-co-kr;dometopia-com
k-beauty,21,조선미녀 인삼 클렌징 오일,Beauty of Joseon Ginseng Cleansing Oil,조선미녀,20,8500,43,250,11854,beauty of joseon;cleansing oil;ginseng,4,ownerclan-com;beautynara-co-kr;k-beautyhub-com;shopme365-com
k-beauty,22,닥터자르트 세라마이딘 크림,Dr.Jart+ Ceramidin Skin Barrier Moisturizing Cream,닥터자르트,45,21000,42,100,31788,dr jart;ceramidin;moisturizer,1,domeggook-com;umma-io;cosmeticstory-co-kr;beautydome-co-kr
k-beauty,23,헤라 UV 프로텍터 톤업 선스크린,Hera UV Protector Tone-Up Sunscreen,헤라,48,23000,41,90,29595,hera;sunscreen;tone up,3,ktradehub-com;ownerclan-com;shopme365-com;dometopia-com
k-beauty,24,넘버즈인 5번 글루타치온 필름 패드,Numbuzin No.5 Glutathione Film Pad,넘버즈인,29.9,14000,43,270,177644,numbuzin;glutathione pad;brightening,7,cosmeticstory-co-kr;beautynara-co-kr;k-beautyhub-com;ownerclan-com
k-beauty,25,에뛰드 플레이 컬러 아이즈 아이섀도우 팔레트,Etude Play Color Eyes Eyeshadow Palette,에뛰드,21.5,9800,44,90,11867,etude;eyeshadow palette;korean makeup,0,domeggook-com;beautydome-co-kr;shopme365-com;umma-io
k-beauty,26,프로폴리스 시너지 토너,Propolis Synergy Toner,코스알엑스,19.99,9200,42,200,31793,propolis toner;hydrating toner;korean skincare,2,ownerclan-com;cosmeticstory-co-kr;beautynara-co-kr;dometopia-com
k-beauty,27,병풀 수분 장벽 크림,Centella Asiatica Moisture Barrier Cream,닥터자르트,35,16000,43,130,31788,centella cream;cica moisturizer;skin barrier,4,umma-io;k-beautyhub-com;shopme365-com;domeggook-com
k-beauty,28,비타민C 23 세럼,Vitamin C 23 Serum,코스알엑스,25,11500,41,70,177643,vitamin c serum;brightening serum;kbeauty,6,beautydome-co-kr;ownerclan-com;cosmeticstory-co-kr;beautynara-co-kr
k-beauty,29,한방 아이크림,Herbal Ginseng Eye Cream,설화수,95,48000,38,80,26395,hanbang eye cream;ginseng eye cream;anti wrinkle,1,ktradehub-com;dometopia-com;shopme365-com;ownerclan-com
k-beauty,30,콜라겐 모델링 마스크팩,Collagen Modeling Rubber Mask,닥터자르트,9.5,4000,46,100,11865,modeling mask;rubber mask;korean facial,3,domeggook-com;umma-io;beautydome-co-kr;k-beautyhub-com
k-pop-albums-goods,1,세븐틴 (Seventeen) 10th Mini Album 'FML',Seventeen 10th Mini Album 'FML',케이타운포유,24.9,11500,44,450,176984,seventeen;fml album;kpop album,4,musickorea-asia;withmuu-com
k-pop-albums-goods,2,스트레이키즈 (Stray Kids) '★★★★★ (5-STAR)',Stray Kids '★★★★★ (5-STAR)',JYP SHOP,26.5,12300,43,480,176984,stray kids;5 star album;skz,6,soundpress-kr;musickorea-asia
k-pop-albums-goods,3,뉴진스 (NewJeans) 2nd EP 'Get Up' (Bunny Beach Bag ver.),NewJeans 2nd EP 'Get Up' (Bunny Beach Bag ver.),위버스샵,28.8,13500,45,350,176984,newjeans;get up album;kpop girl group,8,staronemall-com
