cat_slug,rank,name,country,change,initials
k-pop-photocards,1,포카마켓,KR,1,포카
k-pop-photocards,2,SMTOWN &STORE,KR,0,SM
k-pop-photocards,3,위버스샵,KR,0,위버
k-pop-photocards,4,케이타운포유,KR,-1,케이
k-pop-photocards,5,JYP SHOP,KR,2,JY
k-pop-photocards,6,YG SELECT,KR,1,YG
k-pop-photocards,7,아이돌코리아,KR,3,아이
k-pop-photocards,8,레드훅 스튜디오,KR,0,레드
k-pop-photocards,9,케이팝스토어,KR,-2,케이
k-pop-photocards,10,KPOPMERCH,KR,-1,KP
k-pop-photocards,11,뮤직플랜트,KR,4,뮤직
k-pop-photocards,12,사운드웨이브,KR,0,사운
k-pop-photocards,13,에버라인,KR,1,에버
k-pop-photocards,14,위드뮤,KR,-1,위드
k-pop-photocards,15,메이크스타,KR,2,메이
k-pop-photocards,16,디어마이뮤즈,KR,0,디어
k-pop-photocards,17,점프업,KR,3,점프
k-pop-photocards,18,비트로드,KR,-2,비트
k-pop-photocards,19,조은뮤직,KR,1,조은
k-pop-photocards,20,애플뮤직,KR,0,애플
auto-parts,1,현대모비스,KR,0,현대
auto-parts,2,한국타이어앤테크놀로지,KR,1,한국
auto-parts,3,금호타이어,KR,-1,금호
auto-parts,4,한온시스템,KR,0,한온
auto-parts,5,HL만도,KR,1,HL
auto-parts,6,현대위아,KR,-1,현대
auto-parts,7,넥센타이어,KR,0,넥센
auto-parts,8,성우하이텍,KR,2,성우
auto-parts,9,에스엘,KR,0,에스
auto-parts,10,현대트랜시스,KR,1,현대
auto-parts,11,서연이화,KR,-2,서연
auto-parts,12,화신,KR,3,화신
auto-parts,13,아진산업,KR,0,아진
auto-parts,14,세방전지,KR,1,세방
auto-parts,15,명신산업,KR,-1,명신
auto-parts,16,유라코퍼레이션,KR,2,유라
auto-parts,17,경창산업,KR,0,경창
auto-parts,18,덕양산업,KR,1,덕양
auto-parts,19,평화산업,KR,-2,평화
auto-parts,20,만도,KR,0,만도
k-beauty-skincare,1,코스알엑스,KR/US,2,코스
k-beauty-skincare,2,라네즈,KR,0,라네
k-beauty-skincare,3,이니스프리,KR,-1,이니스
k-beauty-skincare,4,메디큐브,KR,3,메디
k-beauty-skincare,5,설화수,KR,-1,설화
k-beauty-skincare,6,닥터자르트,KR,0,닥터
k-beauty-skincare,7,아누아,KR/US,5,아누
k-beauty-skincare,8,조선미녀,KR/US,2,조선
k-beauty-skincare,9,스킨1004,KR,4,스킨
k-beauty-skincare,10,라운드랩,KR,-1,라운
k-beauty-skincare,11,에뛰드,KR,-3,에뛰
