cat_slug,rank,name,name_en,brand,ebay_usd,krw,margin,weight_g,ebay_cat_id,seo_tags,change,source_slugs
k-pop-photocards,1,스트레이키즈 락스타 앨범 포토카드 (필릭스),Stray Kids ROCK-STAR Album Photocard (Felix),JYP SHOP,12.5,4500,64,30,171233,stray kids;felix;rockstar photocard,5,pocamarket-com;kr-ktown4u-com;goodnd-co-kr;domeggook-com
k-pop-photocards,2,뉴진스 겟업 위버스샵 특전 포토카드 (하니),NewJeans Get Up Weverse Shop POB (Hanni),위버스샵,15,6000,60,30,171233,newjeans;hanni;weverse pob,7,pocamarket-com;kr-ktown4u-com;goodnd-co-kr;domeggook-com
k-pop-photocards,3,BTS Love Yourself 'Her' 앨범 포토카드 (정국),BTS Love Yourself 'Her' Album Photocard (Jungkook),위버스샵,18,7500,58,30,171233,bts;jungkook;love yourself,2,pocamarket-com;kr-ktown4u-com;goodnd-co-kr;domeggook-com
k-pop-photocards,4,아이브 'I'VE MINE' 사운드웨이브 럭키드로우 포토카드 (장원영),IVE 'I'VE MINE' Soundwave Lucky Draw Photocard (Wonyoung),사운드웨이브,22.5,9000,60,30,171233,ive;wonyoung;soundwave lucky draw,8,pocamarket-com;kr-ktown4u-com;goodnd-co-kr;domeggook-com
k-pop-photocards,5,에스파 'MY WORLD' 앨범 포토카드 (카리나),aespa 'MY WORLD' Album Photocard (Karina),SMTOWN &STORE,11,4000,63,30,171233,aespa;karina;my world,4,pocamarket-com;kr-ktown4u-com;goodnd-co-kr;domeggook-com
k-pop-photocards,6,세븐틴 'FML' 앨범 포토카드 (민규),Seventeen 'FML' Album Photocard (Mingyu),위버스샵,9.5,3800,60,30,171233,seventeen;mingyu;fml album,1,pocamarket-com;kr-ktown4u-com;goodnd-co-kr;domeggook-com
k-pop-photocards,7,르세라핌 'UNFORGIVEN' 앨범 포토카드 (사쿠라),LE SSERAFIM 'UNFORGIVEN' Album Photocard (Sakura),위버스샵,10,4200,58,30,171233,le sserafim;sakura;unforgiven,3,pocamarket-com;kr-ktown4u-com;goodnd-co-kr;domeggook-com
k-pop-photocards,8,투모로우바이투게더 '이름의 장: FREEFALL' 앨범 포토카드 (연준),TXT 'The Name Chapter: FREEFALL' Album Photocard (Yeonjun),위버스샵,13,5000,61,30,171233,txt;yeonjun;freefall,6,pocamarket-com;kr-ktown4u-com;goodnd-co-kr;domeggook-com
k-pop-photocards,9,블랙핑크 'BORN PINK' 앨범 포토카드 (제니),BLACKPINK 'BORN PINK' Album Photocard (Jennie),YG SELECT,16.5,7000,57,30,171233,blackpink;jennie;born pink,0,pocamarket-com;kr-ktown4u-com;goodnd-co-kr;domeggook-com
k-pop-photocards,10,NCT DREAM 'ISTJ' 앨범 포토카드 (재민),NCT DREAM 'ISTJ' Album Photocard (Jaemin),SMTOWN &STORE,11.5,4800,58,30,171233,nct dream;jaemin;istj,2,pocamarket-com;kr-ktown4u-com;goodnd-co-kr;domeggook-com
k-pop-photocards,11,엔하이픈 팬미팅 공식 포토카드 세트,ENHYPEN Fan Meeting Official Photocard Set,위버스샵,25,11000,56,80,171233,enhypen;official goods;fan meeting,4,pocamarket-com;kr-ktown4u-com;goodnd-co-kr;domeggook-com
k-pop-photocards,12,에이티즈 월드투어 MD 포토카드 (산),ATEEZ World Tour MD Photocard (San),케이타운포유,14,5500,60,30,171233,ateez;san;world tour merch,3,pocamarket-com;kr-ktown4u-com;goodnd-co-kr;domeggook-com
k-pop-photocards,13,있지 'KILL MY DOUBT' 앨범 포토카드 (예지),ITZY 'KILL MY DOUBT' Album Photocard (Yeji),JYP SHOP,8,3200,60,30,171233,itzy;yeji;kill my doubt,1,pocamarket-com;kr-ktown4u-com;goodnd-co-kr;domeggook-com
