cat_slug,rank,name,url,rely,fit,slug,initials
kpop-goods,1,도매꾹,domeggook.com,5,4,domeggook-com,DM
kpop-goods,2,오너클랜,ownerclan.com,5,3,ownerclan-com,OC
kpop-goods,3,도매토피아,dometopia.com,4,3,dometopia-com,DT
kpop-goods,4,셀모아,sellmoa.com,4,3,sellmoa-com,SM
kpop-goods,5,슈퍼캣,supercat.co.kr,4,3,supercat-co-kr,SC
kpop-goods,6,도매매,domema.com,5,4,domema-com,DM
kpop-goods,7,온채널,onchannel.co.kr,4,3,onchannel-co-kr,OC
kpop-goods,8,펀픽,funpick.co.kr,3,4,funpick-co-kr,FP
kpop-goods,9,도매창고,domaechanggo.com,3,3,domaechanggo-com,DC
kpop-goods,10,도매119,dome119.com,3,3,dome119-com,D1
lego-blocks,1,도매꾹,domeggook.com,5,4,domeggook-com,DM
lego-blocks,2,오너클랜,ownerclan.com,5,3,ownerclan-com,OC
lego-blocks,3,도매토피아,dometopia.com,4,3,dometopia-com,DT
lego-blocks,4,셀모아,sellmoa.com,4,3,sellmoa-com,SM
lego-blocks,5,슈퍼캣,supercat.co.kr,4,3,supercat-co-kr,SC
lego-blocks,6,펀픽,funpick.co.kr,3,4,funpick-co-kr,FP
lego-blocks,7,도매매,domema.com,5,3,domema-com,DM
lego-blocks,8,온채널,onchannel.co.kr,4,3,onchannel-co-kr,OC
lego-blocks,9,도매창고,domaechanggo.com,3,3,domaechanggo-com,DC
lego-blocks,10,도매119,dome119.com,3,3,dome119-com,D1
drones,1,도매꾹,domeggook.com,5,4,domeggook-com,DM
drones,2,오너클랜,ownerclan.com,5,3,ownerclan-com,OC
drones,3,도매토피아,dometopia.com,4,3,dometopia-com,DT
drones,4,셀모아,sellmoa.com,4,3,sellmoa-com,SM
drones,5,슈퍼캣,supercat.co.kr,4,3,supercat-co-kr,SC
drones,6,펀픽,funpick.co.kr,3,5,funpick-co-kr,FP
drones,7,도매매,domema.com,5,3,domema-com,DM
drones,8,온채널,onchannel.co.kr,4,3,onchannel-co-kr,OC
drones,9,도매창고,domaechanggo.com,3,3,domaechanggo-com,DC
drones,10,도매119,dome119.com,3,3,dome119-com,D1
trading-cards,1,도매꾹,domeggook.com,5,4,domeggook-com,DM
trading-cards,2,오너클랜,ownerclan.com,5,3,ownerclan-com,OC
trading-cards,3,도매토피아,dometopia.com,4,3,dometopia-com,DT
trading-cards,4,셀모아,sellmoa.com,4,3,sellmoa-com,SM
trading-cards,5,슈퍼캣,supercat.co.kr,4,3,supercat-co-kr,SC
trading-cards,6,펀픽,funpick.co.kr,3,4,funpick-co-kr,FP
trading-cards,7,도매매,domema.com,5,3,domema-com,DM
trading-cards,8,온채널,onchannel.co.kr,4,3,onchannel-co-kr,OC
trading-cards,9,도매창고,domaechanggo.com,3,3,domaechanggo-com,DC
trading-cards,10,도매119,dome119.com,3,3,dome119-com,D1
character-goods,1,도매꾹,domeggook.com,5,5,domeggook-com,DM
character-goods,2,오너클랜,ownerclan.com,5,4,ownerclan-com,OC
character-goods,3,도매토피아,dometopia.com,4,4,dometopia-com,DT
character-goods,4,셀모아,sellmoa.com,4,4,sellmoa-com,SM
character-goods,5,천유닷컴,1000za.kr,3,5,1000za-kr,CY
character-goods,6,도매몰,domemall.co.kr,3,4,domemall-co-kr,DM
character-goods,7,슈퍼캣,supercat.co.kr,4,4,supercat-co-kr,SC
character-goods,8,도매매,domema.com,5,4,domema-com,DM
character-goods,9,온채널,onchannel.co.kr,4,4,onchannel-co-kr,OC
character-goods,10,도매창고,domaechanggo.com,3,4,domaechanggo-com,DC
k-beauty-skincare,1,도매꾹,domeggook.com,5,5,domeggook-com,DM
k-beauty-skincare,2,오너클랜,ownerclan.com,5,4,ownerclan-com,OC
k-beauty-skincare,3,도매토피아,dometopia.com,4,4,dometopia-com,DT
k-beauty-skincare,4,셀모아,sellmoa.com,4,4,sellmoa-com,SM
k-beauty-skincare,5,슈퍼캣,supercat.co.kr,4,4,supercat-co-kr,SC
k-beauty-skincare,6,도매매,domema.com,5,4,domema-com,DM
k-beauty-skincare,7,온채널,onchannel.co.kr,4,4,onchannel-co-kr,OC
k-beauty-skincare,8,도매창고,domaechanggo.com,3,4,domaechanggo-com,DC
k-beauty-skincare,9,도매119,dome119.com,3,4,dome119-com,D1
k-beauty-skincare,10,케이뷰티도매,kbeautydomae.com,3,5,kbeautydomae-com,KB
auto-parts,1,도매꾹,domeggook.com,5,4,domeggook-com,DM
auto-parts,2,오너클랜,ownerclan.com,5,3,ownerclan-com,OC
auto-parts,3,도매토피아,dometopia.com,4,3,dometopia-com,DT
auto-parts,4,셀모아,sellmoa.com,4,3,sellmoa-com,SM
auto-parts,5,슈퍼캣,supercat.co.kr,4,3,supercat-co-kr,SC
auto-parts,6,도매매,domema.com,5,3,domema-com,DM
auto-parts,7,온채널,onchannel.co.kr,4,3,onchannel-co-kr,OC
auto-parts,8,도매창고,domaechanggo.com,3,3,domaechanggo-com,DC
auto-parts,9,도매119,dome119.com,3,3,dome119-com,D1
auto-parts,10,카앤피플,carnpeople.co.kr,3,4,carnpeople-co-kr,CP
k-fashion,1,도매꾹,domeggook.com,5,5,domeggook-com,DM
k-fashion,2,오너클랜,ownerclan.com,5,4,ownerclan-com,OC
k-fashion,3,도매토피아,dometopia.com,4,4,dometopia-com,DT
k-fashion,4,셀모아,sellmoa.com,4,4,sellmoa-com,SM
k-fashion,5,슈퍼캣,supercat.co.kr,4,4,supercat-co-kr,SC
k-fashion,6,도매매,domema.com,5,4,domema-com,DM
k-fashion,7,온채널,onchannel.co.kr,4,4,onchannel-co-kr,OC
k-fashion,8,도매창고,domaechanggo.com,3,4,domaechanggo-com,DC
k-fashion,9,도매119,dome119.com,3,4,dome119-com,D1
k-fashion,10,고투몰,gotomall.kr,4,5,gotomall-kr,GM
figures-collectibles,1,도매꾹,domeggook.com,5,4,domeggook-com,DM
figures-collectibles,2,오너클랜,ownerclan.com,5,3,ownerclan-com,OC
figures-collectibles,3,도매토피아,dometopia.com,4,3,dometopia-com,DT
figures-collectibles,4,셀모아,sellmoa.com,4,3,sellmoa-com,SM
figures-collectibles,5,슈퍼캣,supercat.co.kr,4,3,supercat-co-kr,SC
figures-collectibles,6,펀픽,funpick.co.kr,3,4,funpick-co-kr,FP
figures-collectibles,7,도매매,domema.com,5,3,domema-com,DM
figures-collectibles,8,온채널,onchannel.co.kr,4,3,onchannel-co-kr,OC
figures-collectibles,9,도매창고,domaechanggo.com,3,3,domaechanggo-com,DC
figures-collectibles,10,도매119,dome119.com,3,3,dome119-com,D1
k-food,1,도매꾹,domeggook.com,5,5,domeggook-com,DM
k-food,2,오너클랜,ownerclan.com,5,4,ownerclan-com,OC
k-food,3,도매토피아,dometopia.com,4,4,dometopia-com,DT
k-food,4,셀모아,sellmoa.com,4,4,sellmoa-com,SM
k-food,5,슈퍼캣,supercat.co.kr,4,4,supercat-co-kr,SC
k-food,6,도매매,domema.com,5,4,domema-com,DM
k-food,7,온채널,onchannel.co.kr,4,4,onchannel-co-kr,OC
k-food,8,도매창고,domaechanggo.com,3,4,domaechanggo-com,DC
k-food,9,도매119,dome119.com,3,4,dome119-com,D1
k-food,10,푸드엔,foodn.co.kr,3,5,foodn-co-kr,FN
webtoon-goods,1,도매꾹,domeggook.com,5,4,domeggook-com,DM
webtoon-goods,2,오너클랜,ownerclan.com,5,4,ownerclan-com,OC
webtoon-goods,3,도매토피아,dometopia.com,4,3,dometopia-com,DT
webtoon-goods,4,셀모아,sellmoa.com,4,3,sellmoa-com,SM
webtoon-goods,5,아트박스 B2B,artboxmall.com/b2b,4,5,artboxmall-com-b2b,AB
webtoon-goods,6,텐바이텐 B2B,10x10.co.kr/b2b,4,5,10x10-co-kr-b2b,TB
webtoon-goods,7,카카오프렌즈 B2B,store.kakaofriends.com/kr/b2b,5,5,store-kakaofriends-com-kr-b2b,KF
webtoon-goods,8,라인프렌즈 B2B,store.linefriends.com/b2b,5,5,store-linefriends-com-b2b,LF
webtoon-goods,9,도매매,domema.com,4,3,domema-com,DM
webtoon-goods,10,온채널,onchannel.co.kr,4,3,onchannel-co-kr,OC
computer-parts,1,도매꾹,domeggook.com,5,4,domeggook-com,DM
computer-parts,2,오너클랜,ownerclan.com,5,4,ownerclan-com,OC
computer-parts,3,도매토피아,dometopia.com,4,3,dometopia-com,DT
computer-parts,4,셀모아,sellmoa.com,4,3,sellmoa-com,SM
computer-parts,5,컴퓨존 B2B,compuzone.co.kr/b2b,5,5,compuzone-co-kr-b2b,CZ
computer-parts,6,아이코다 B2B,icoda.co.kr/b2b,4,5,icoda-co-kr-b2b,IC
computer-parts,7,조이젠 B2B,joyzen.co.kr/b2b,4,5,joyzen-co-kr-b2b,JZ
computer-parts,8,도매매,domema.com,4,3,domema-com,DM
computer-parts,9,온채널,onchannel.co.kr,4,3,onchannel-co-kr,OC
computer-parts,10,슈퍼캣,supercat.co.kr,3,3,supercat-co-kr,SC
k-beauty-haircare,1,도매꾹,domeggook.com,5,5,domeggook-com,DM
k-beauty-haircare,2,오너클랜,ownerclan.com,5,5,ownerclan-com,OC
k-beauty-haircare,3,도매토피아,dometopia.com,4,4,dometopia-com,DT
k-beauty-haircare,4,셀모아,sellmoa.com,4,4,sellmoa-com,SM
k-beauty-haircare,5,도매매,domema.com,4,4,domema-com,DM
k-beauty-haircare,6,온채널,onchannel.co.kr,4,4,onchannel-co-kr,OC
k-beauty-haircare,7,미미박스 B2B,memebox.com/b2b,4,5,memebox-com-b2b,MB
k-beauty-haircare,8,아모레퍼시픽 B2B,amorepacific.com/b2b,5,5,amorepacific-com-b2b,AP
k-beauty-haircare,9,LG생활건강 B2B,lgcare.com/b2b,5,5,lgcare-com-b2b,LG
k-beauty-haircare,10,뷰티앤뷰,beautyandview.com,3,5,beautyandview-com,BV
k-beauty-devices,1,도매꾹,domeggook.com,5,5,domeggook-com,DM
k-beauty-devices,2,오너클랜,ownerclan.com,5,5,ownerclan-com,OC
k-beauty-devices,3,도매토피아,dometopia.com,4,4,dometopia-com,DT
k-beauty-devices,4,셀모아,sellmoa.com,4,4,sellmoa-com,SM
k-beauty-devices,5,도매매,domema.com,4,4,domema-com,DM
k-beauty-devices,6,온채널,onchannel.co.kr,4,4,onchannel-co-kr,OC
k-beauty-devices,7,올리브영 B2B,oliveyoung.co.kr/b2b,5,5,oliveyoung-co-kr-b2b,OY
k-beauty-devices,8,쿠팡 B2B,b2b.coupang.com,5,4,b2b-coupang-com,CP
k-beauty-devices,9,슈퍼캣,supercat.co.kr,3,3,supercat-co-kr,SC
k-beauty-devices,10,도매몰,domemall.co.kr,3,3,domemall-co-kr,DM
smartphone-acc,1,도매꾹,domeggook.com,5,5,domeggook-com,DM
smartphone-acc,2,오너클랜,ownerclan.com,5,5,ownerclan-com,OC
smartphone-acc,3,도매토피아,dometopia.com,4,4,dometopia-com,DT
smartphone-acc,4,셀모아,sellmoa.com,4,4,sellmoa-com,SM
smartphone-acc,5,도매매,domema.com,4,4,domema-com,DM
smartphone-acc,6,온채널,onchannel.co.kr,4,4,onchannel-co-kr,OC
smartphone-acc,7,앱토커머스,apptalk.co.kr/b2b,3,5,apptalk-co-kr-b2b,AT
smartphone-acc,8,폰케이스 도매,phonecasewholesale.co.kr,3,5,phonecasewholesale-co-kr,PC
smartphone-acc,9,슈퍼캣,supercat.co.kr,3,3,supercat-co-kr,SC
smartphone-acc,10,도매몰,domemall.co.kr,3,3,domemall-co-kr,DM
mens-fashion,1,도매꾹,domeggook.com,5,4,domeggook-com,DM
mens-fashion,2,오너클랜,ownerclan.com,5,4,ownerclan-com,OC
mens-fashion,3,도매토피아,dometopia.com,4,3,dometopia-com,DT
mens-fashion,4,셀모아,sellmoa.com,4,3,sellmoa-com,SM
mens-fashion,5,도매매,domema.com,4,3,domema-com,DM
mens-fashion,6,온채널,onchannel.co.kr,4,3,onchannel-co-kr,OC
mens-fashion,7,고투몰,gotomall.kr,4,5,gotomall-kr,GM
mens-fashion,8,남대문 도매상가,ndm.kr,4,5,ndm-kr,ND
mens-fashion,9,동대문 도매,ddm.co.kr,4,5,ddm-co-kr,DD
mens-fashion,10,도매몰,domemall.co.kr,3,3,domemall-co-kr,DM
inner-beauty,1,도매꾹,domeggook.com,5,5,domeggook-com,DM
inner-beauty,2,오너클랜,ownerclan.com,5,5,ownerclan-com,OC
inner-beauty,3,도매토피아,dometopia.com,4,4,dometopia-com,DT
inner-beauty,4,셀모아,sellmoa.com,4,4,sellmoa-com,SM
inner-beauty,5,도매매,domema.com,4,4,domema-com,DM
inner-beauty,6,온채널,onchannel.co.kr,4,4,onchannel-co-kr,OC
inner-beauty,7,건강식품 도매,healthfoodwholesale.co.kr,3,5,healthfoodwholesale-co-kr,HW
inner-beauty,8,정관장 B2B,kgc.co.kr/b2b,5,5,kgc-co-kr-b2b,JG
inner-beauty,9,종근당건강 B2B,ckdhc.com/b2b,5,5,ckdhc-com-b2b,CK
inner-beauty,10,슈퍼캣,supercat.co.kr,3,3,supercat-co-kr,SC
k-stationery,1,도매꾹,domeggook.com,5,4,domeggook-com,DM
k-stationery,2,오너클랜,ownerclan.com,5,4,ownerclan-com,OC
k-stationery,3,도매토피아,dometopia.com,4,3,dometopia-com,DT
k-stationery,4,셀모아,sellmoa.com,4,3,sellmoa-com,SM
k-stationery,5,천유닷컴,1000za.kr,4,5,1000za-kr,CY
k-stationery,6,아트박스 B2B,artboxmall.com/b2b,4,5,artboxmall-com-b2b,AB
k-stationery,7,텐바이텐 B2B,10x10.co.kr/b2b,4,5,10x10-co-kr-b2b,TB
k-stationery,8,모닝글로리 B2B,morningglory.co.kr/b2b,4,5,morningglory-co-kr-b2b,MG
k-stationery,9,도매매,domema.com,4,3,domema-com,DM
k-stationery,10,온채널,onchannel.co.kr,4,3,onchannel-co-kr,OC
kdrama-goods,1,도매꾹,domeggook.com,5,4,domeggook-com,DM
kdrama-goods,2,오너클랜,ownerclan.com,5,4,ownerclan-com,OC
kdrama-goods,3,도매토피아,dometopia.com,4,3,dometopia-com,DT
kdrama-goods,4,셀모아,sellmoa.com,4,3,sellmoa-com,SM
kdrama-goods,5,도매매,domema.com,4,3,domema-com,DM
kdrama-goods,6,온채널,onchannel.co.kr,4,3,onchannel-co-kr,OC
kdrama-goods,7,K-굿즈 도매,kgoodswholesale.com,3,5,kgoodswholesale-com,KG
kdrama-goods,8,텐바이텐 B2B,10x10.co.kr/b2b,4,4,10x10-co-kr-b2b,TB
kdrama-goods,9,아트박스 B2B,artboxmall.com/b2b,4,4,artboxmall-com-b2b,AB
kdrama-goods,10,슈퍼캣,supercat.co.kr,3,3,supercat-co-kr,SC
k-beauty-makeup,1,도매꾹,domeggook.com,5,5,domeggook-com,DM
k-beauty-makeup,2,오너클랜,ownerclan.com,5,5,ownerclan-com,OC
k-beauty-makeup,3,도매토피아,dometopia.com,4,4,dometopia-com,DT
k-beauty-makeup,4,셀모아,sellmoa.com,4,4,sellmoa-com,SM
k-beauty-makeup,5,도매매,domema.com,4,4,domema-com,DM
k-beauty-makeup,6,온채널,onchannel.co.kr,4,4,onchannel-co-kr,OC
k-beauty-makeup,7,미미박스 B2B,memebox.com/b2b,4,5,memebox-com-b2b,MB
k-beauty-makeup,8,아모레퍼시픽 B2B,amorepacific.com/b2b,5,5,amorepacific-com-b2b,AP
k-beauty-makeup,9,LG생활건강 B2B,lgcare.com/b2b,5,5,lgcare-com-b2b,LG
k-beauty-makeup,10,뷰티앤뷰,beautyandview.com,3,5,beautyandview-com,BV
esports-merch,1,도매꾹,domeggook.com,5,4,domeggook-com,DM
esports-merch,2,오너클랜,ownerclan.com,5,3,ownerclan-com,OC
esports-merch,3,도매토피아,dometopia.com,4,3,dometopia-com,DT
esports-merch,4,셀모아,sellmoa.com,4,3,sellmoa-com,SM
esports-merch,5,슈퍼캣,supercat.co.kr,3,3,supercat-co-kr,SC
esports-merch,6,온채널,onchannel.co.kr,4,3,onchannel-co-kr,OC
esports-merch,7,펀픽,funpick.co.kr,3,4,funpick-co-kr,FP
esports-merch,8,바밤,babam.co.kr,3,3,babam-co-kr,BB
esports-merch,9,도매매,domema.com,5,3,domema-com,DM
esports-merch,10,위메프 B2B,biz.wemakeprice.com,4,3,biz-wemakeprice-com,WB
auto-accessories,1,도매꾹,domeggook.com,5,5,domeggook-com,DM
auto-accessories,2,오너클랜,ownerclan.com,5,4,ownerclan-com,OC
auto-accessories,3,도매토피아,dometopia.com,4,4,dometopia-com,DT
auto-accessories,4,셀모아,sellmoa.com,4,4,sellmoa-com,SM
auto-accessories,5,슈퍼캣,supercat.co.kr,3,4,supercat-co-kr,SC
auto-accessories,6,온채널,onchannel.co.kr,4,4,onchannel-co-kr,OC
auto-accessories,7,도매매,domema.com,5,4,domema-com,DM
auto-accessories,8,카앤피플,carnpeople.co.kr,3,5,carnpeople-co-kr,CP
auto-accessories,9,쿠팡 B2B,b2b.coupang.com,5,4,b2b-coupang-com,CB
auto-accessories,10,위메프 B2B,biz.wemakeprice.com,4,4,biz-wemakeprice-com,WB
camping-gear,1,도매꾹,domeggook.com,5,5,domeggook-com,DM
camping-gear,2,오너클랜,ownerclan.com,5,4,ownerclan-com,OC
camping-gear,3,도매토피아,dometopia.com,4,4,dometopia-com,DT
camping-gear,4,셀모아,sellmoa.com,4,4,sellmoa-com,SM
camping-gear,5,슈퍼캣,supercat.co.kr,3,4,supercat-co-kr,SC
camping-gear,6,온채널,onchannel.co.kr,4,4,onchannel-co-kr,OC
camping-gear,7,캠핑트리,camptree.co.kr,3,5,camptree-co-kr,CT
camping-gear,8,캠핑온,campingon.co.kr,3,5,campingon-co-kr,CO
camping-gear,9,도매매,domema.com,5,4,domema-com,DM
camping-gear,10,위메프 B2B,biz.wemakeprice.com,4,4,biz-wemakeprice-com,WB
kitchen-ware,1,도매꾹,domeggook.com,5,5,domeggook-com,DM
kitchen-ware,2,오너클랜,ownerclan.com,5,5,ownerclan-com,OC
kitchen-ware,3,도매토피아,dometopia.com,4,5,dometopia-com,DT
kitchen-ware,4,셀모아,sellmoa.com,4,4,sellmoa-com,SM
kitchen-ware,5,슈퍼캣,supercat.co.kr,3,4,supercat-co-kr,SC
kitchen-ware,6,온채널,onchannel.co.kr,4,5,onchannel-co-kr,OC
kitchen-ware,7,도매매,domema.com,5,5,domema-com,DM
kitchen-ware,8,주방용품 도매,kitchenware.co.kr,3,5,kitchenware-co-kr,JD
kitchen-ware,9,쿠팡 B2B,b2b.coupang.com,5,4,b2b-coupang-com,CB
kitchen-ware,10,위메프 B2B,biz.wemakeprice.com,4,4,biz-wemakeprice-com,WB
golf-gear,1,도매꾹,domeggook.com,5,5,domeggook-com,DM
golf-gear,2,오너클랜,ownerclan.com,5,4,ownerclan-com,OC
golf-gear,3,도매토피아,dometopia.com,4,4,dometopia-com,DT
golf-gear,4,셀모아,sellmoa.com,4,4,sellmoa-com,SM
golf-gear,5,슈퍼캣,supercat.co.kr,3,4,supercat-co-kr,SC
golf-gear,6,온채널,onchannel.co.kr,4,4,onchannel-co-kr,OC
golf-gear,7,골프존마켓,golfzonmarket.com,4,5,golfzonmarket-com,GM
golf-gear,8,골핑,golping.com,4,5,golping-com,GP
golf-gear,9,도매매,domema.com,5,4,domema-com,DM
golf-gear,10,위메프 B2B,biz.wemakeprice.com,4,4,biz-wemakeprice-com,WB
pet-supplies,1,도매꾹,domeggook.com,5,5,domeggook-com,DM
pet-supplies,2,오너클랜,ownerclan.com,5,5,ownerclan-com,OC
pet-supplies,3,도매토피아,dometopia.com,4,5,dometopia-com,DT
pet-supplies,4,셀모아,sellmoa.com,4,4,sellmoa-com,SM
pet-supplies,5,슈퍼캣,supercat.co.kr,3,4,supercat-co-kr,SC
pet-supplies,6,온채널,onchannel.co.kr,4,5,onchannel-co-kr,OC
pet-supplies,7,도매매,domema.com,5,5,domema-com,DM
pet-supplies,8,펫프렌즈 B2B,b2b.petfriends.co.kr,4,5,b2b-petfriends-co-kr,PB
pet-supplies,9,쿠팡 B2B,b2b.coupang.com,5,4,b2b-coupang-com,CB
pet-supplies,10,위메프 B2B,biz.wemakeprice.com,4,4,biz-wemakeprice-com,WB
fishing-gear,1,도매꾹,domeggook.com,5,5,domeggook-com,DM
fishing-gear,2,오너클랜,ownerclan.com,5,4,ownerclan-com,OC
fishing-gear,3,도매토피아,dometopia.com,4,4,dometopia-com,DT
fishing-gear,4,셀모아,sellmoa.com,4,4,sellmoa-com,SM
fishing-gear,5,슈퍼캣,supercat.co.kr,3,4,supercat-co-kr,SC
fishing-gear,6,온채널,onchannel.co.kr,4,4,onchannel-co-kr,OC
fishing-gear,7,도매매,domema.com,5,4,domema-com,DM
fishing-gear,8,피싱앤피플,fishingnpeople.co.kr,3,5,fishingnpeople-co-kr,FP
fishing-gear,9,쿠팡 B2B,b2b.coupang.com,5,4,b2b-coupang-com,CB
fishing-gear,10,위메프 B2B,biz.wemakeprice.com,4,4,biz-wemakeprice-com,WB
home-decor,1,도매꾹,domeggook.com,5,5,domeggook-com,DM
home-decor,2,오너클랜,ownerclan.com,5,5,ownerclan-com,OC
home-decor,3,도매토피아,dometopia.com,4,5,dometopia-com,DT
home-decor,4,셀모아,sellmoa.com,4,4,sellmoa-com,SM
home-decor,5,슈퍼캣,supercat.co.kr,3,4,supercat-co-kr,SC
home-decor,6,온채널,onchannel.co.kr,4,5,onchannel-co-kr,OC
home-decor,7,도매매,domema.com,5,5,domema-com,DM
home-decor,8,오늘의집 B2B,ohou.com/b2b,4,5,ohou-com-b2b,OH
home-decor,9,쿠팡 B2B,b2b.coupang.com,5,4,b2b-coupang-com,CB
home-decor,10,위메프 B2B,biz.wemakeprice.com,4,4,biz-wemakeprice-com,WB
modern-hanbok,1,도매꾹,domeggook.com,5,3,domeggook-com,DM
modern-hanbok,2,오너클랜,ownerclan.com,5,3,ownerclan-com,OC
modern-hanbok,3,도매토피아,dometopia.com,4,3,dometopia-com,DT
modern-hanbok,4,셀모아,sellmoa.com,4,3,sellmoa-com,SM
modern-hanbok,5,슈퍼캣,supercat.co.kr,3,3,supercat-co-kr,SC
modern-hanbok,6,온채널,onchannel.co.kr,4,3,onchannel-co-kr,OC
modern-hanbok,7,도매매,domema.com,5,3,domema-com,DM
modern-hanbok,8,한복나라,hanboknara.com,3,5,hanboknara-com,HN
modern-hanbok,9,동대문 도매,gotomall.kr,4,4,gotomall-kr,GD
modern-hanbok,10,위메프 B2B,biz.wemakeprice.com,4,3,biz-wemakeprice-com,WB
traditional-craft,1,도매꾹,domeggook.com,5,4,domeggook-com,DM
traditional-craft,2,오너클랜,ownerclan.com,5,3,ownerclan-com,OC
traditional-craft,3,도매토피아,dometopia.com,4,3,dometopia-com,DT
traditional-craft,4,셀모아,sellmoa.com,4,3,sellmoa-com,SM
traditional-craft,5,슈퍼캣,supercat.co.kr,3,3,supercat-co-kr,SC
traditional-craft,6,온채널,onchannel.co.kr,4,3,onchannel-co-kr,OC
traditional-craft,7,도매매,domema.com,5,3,domema-com,DM
traditional-craft,8,한국공예협동조합,koreacraft.or.kr,4,5,koreacraft-or-kr,KC
traditional-craft,9,남대문 도매,ndm.kr,4,4,ndm-kr,ND
traditional-craft,10,위메프 B2B,biz.wemakeprice.com,4,3,biz-wemakeprice-com,WB
