cat_slug,rank,name,name_en,brand,ebay_usd,krw,margin,weight_g,ebay_cat_id,seo_tags,change,source_slugs
kpop-goods,1,BTS 공식 포토카드 세트,BTS Official Photo Card Set,Weverse Shop,25.99,12000,54,80,184600,kpop;photocard;bts,0,domeggook-com;ownerclan-com;dometopia-com
kpop-goods,2,블랙핑크 앨범 'BORN PINK',BLACKPINK Album 'BORN PINK',YG SELECT,35,18000,48,350,184600,kpop album;blackpink;born pink,0,domeggook-com;sellmoa-com;domema-com
kpop-goods,3,스트레이 키즈 응원봉,Stray Kids Light Stick,JYP Shop,65,30000,53,250,184600,kpop lightstick;stray kids;official merch,0,ownerclan-com;onchannel-co-kr;witaksell-com
kpop-goods,4,아이브 포토북 'I'VE MINE',IVE Photobook 'I'VE MINE',Starship Square,40,20000,50,400,184600,kpop photobook;ive;kpop merch,0,domeggook-com;dometopia-com;domemall-co-kr
kpop-goods,5,뉴진스 앨범 'Get Up',NewJeans Album 'Get Up',Weverse Shop,30,15000,50,300,184600,kpop album;newjeans;get up,0,domeggook-com;ownerclan-com;sellmoa-com
kpop-goods,6,세븐틴 공식 포토카드,SEVENTEEN Official Photo Card,Pledis Shop,15,7000,53,50,184600,kpop;seventeen;photocard,0,domeggook-com;dometopia-com;domema-com
kpop-goods,7,투모로우바이투게더 앨범,TXT Album,Weverse Shop,28,14000,50,320,184600,kpop album;txt;tomorrow x together,0,ownerclan-com;onchannel-co-kr;witaksell-com
kpop-goods,8,NCT 드림 포토카드 세트,NCT Dream Photo Card Set,SMTOWN &STORE,22,10000,54,70,184600,kpop;nct dream;photocard,0,domeggook-com;sellmoa-com;domemall-co-kr
kpop-goods,9,르세라핌 앨범 'UNFORGIVEN',LE SSERAFIM Album 'UNFORGIVEN',Weverse Shop,32,16000,50,380,184600,kpop album;le sserafim;unforgiven,0,domeggook-com;ownerclan-com;dometopia-com
kpop-goods,10,엔하이픈 공식 응원봉,ENHYPEN Official Light Stick,Weverse Shop,60,28000,53,280,184600,kpop lightstick;enhypen;official merch,0,ownerclan-com;onchannel-co-kr;witaksell-com
kpop-goods,11,방탄소년단 앨범 'MAP OF THE SOUL: 7',BTS Album 'MAP OF THE SOUL: 7',Weverse Shop,45,22000,51,450,184600,bts album;map of the soul;kpop,0,domeggook-com;sellmoa-com;domema-com
kpop-goods,12,아이유 포토카드,IU Photo Card,EDAM Entertainment,12,5000,58,40,184600,kpop;iu;photocard,0,domeggook-com;dometopia-com;domemall-co-kr
kpop-goods,13,엑소 공식 굿즈 키링,EXO Official Goods Keyring,SMTOWN &STORE,20,9000,55,100,184600,kpop keyring;exo;official merch,0,ownerclan-com;onchannel-co-kr;witaksell-com
kpop-goods,14,있지 앨범 'KILL MY DOUBT',ITZY Album 'KILL MY DOUBT',JYP Shop,29,14500,50,330,184600,kpop album;itzy;kill my doubt,0,domeggook-com;sellmoa-com;domema-com
kpop-goods,15,트와이스 공식 포토카드,TWICE Official Photo Card,JYP Shop,18,8000,56,60,184600,kpop;twice;photocard,0,domeggook-com;dometopia-com;domemall-co-kr
kpop-goods,16,제이홉 솔로 앨범 'Jack In The Box',J-Hope Solo Album 'Jack In The Box',Weverse Shop,38,19000,50,390,184600,j-hope;bts solo;jack in the box,0,ownerclan-com;onchannel-co-kr;witaksell-com
